race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
26,1392532153,prague_marathon,CZE,2016,1.0,16.365,14.102,16.487,104.4,-0.3
27,893537920,prague_marathon,CZE,2017,1.0,13.649,13.709,16.363,104.4,-0.3
28,1991350622,prague_marathon,CZE,2018,1.0,15.431,12.817,16.493,104.4,-0.3
29,4140269171,prague_marathon,CZE,2019,1.0,5.514,4.911,7.802,104.4,-0.3
30,4038363944,prague_marathon,CZE,2022,1.0,16.381,15.7,17.36,104.4,-0.3
31,2532744977,prague_marathon,CZE,2023,1.0,11.713,11.189,13.54,104.4,-0.3
32,587315341,prague_marathon,CZE,2024,1.0,17.917,17.141,18.564,104.4,-0.3
33,2374072102,prague_marathon,CZE,2025,1.0,11.632,10.683,13.472,104.4,-0.3
246,1525122469,rome_marathon,ITA,2021,1.0,24.307,23.17,25.58,92.0,-4.2
247,2186831660,rome_marathon,ITA,2022,1.0,15.756,13.364,18.124,92.0,-4.2
248,408345685,rome_marathon,ITA,2023,1.0,12.705,12.515,15.644,92.0,-4.2
249,1268058333,rome_marathon,ITA,2024,1.0,13.412,13.811,19.673,92.0,-4.2
250,3843409782,rome_marathon,ITA,2025,1.0,12.881,11.527,13.025,92.0,-4.2
319,4142491304,rotterdam_marathon,NED,2018,1.0,15.882,16.536,19.578,56.1,-3.3
320,2427155089,rotterdam_marathon,NED,2019,1.0,16.222,15.704,17.499,56.1,-3.3
321,2499937510,rotterdam_marathon,NED,2021,1.0,9.364,9.066,12.261,56.1,-3.3
322,3962857066,rotterdam_marathon,NED,2022,1.0,8.892,8.055,9.937,56.1,-3.3
323,651543560,rotterdam_marathon,NED,2023,1.0,8.398,7.839,8.913,56.1,-3.3
324,2468537236,rotterdam_marathon,NED,2024,1.0,12.328,10.819,12.21,56.1,-3.3
325,1320703413,rotterdam_marathon,NED,2025,1.0,14.328,13.854,14.498,56.1,-3.3
62,2611870401,san_sebastian_marathon,ESP,2022,1.0,11.777,9.697,13.81,90.3,-0.1
63,892155242,san_sebastian_marathon,ESP,2023,1.0,7.928,6.879,12.843,90.3,-0.1
64,1564517591,san_sebastian_marathon,ESP,2025,1.0,13.432,12.037,14.733,90.3,-0.1
65,1939048376,seville_marathon,ESP,2018,1.0,11.001,10.157,15.192,36.5,-0.1
66,262787029,seville_marathon,ESP,2019,1.0,9.121,7.798,15.672,36.5,-0.1
67,3871901255,seville_marathon,ESP,2020,1.0,12.164,10.229,17.857,36.5,-0.1
68,2009271059,seville_marathon,ESP,2022,1.0,12.161,10.254,17.809,36.5,-0.1
69,2309807523,seville_marathon,ESP,2023,1.0,13.939,11.576,17.407,36.5,-0.1
70,97961722,seville_marathon,ESP,2024,1.0,10.294,9.074,17.737,36.5,-0.1
71,3578738892,seville_marathon,ESP,2025,1.0,9.904,9.104,16.789,36.5,-0.1
355,1128922647,stockholm_marathon,SWE,2014,1.0,13.755,14.337,15.027,436.9,-1.0
356,3989385660,stockholm_marathon,SWE,2015,1.0,10.353,10.229,10.707,436.9,-1.0
357,1039229754,stockholm_marathon,SWE,2016,1.0,16.092,13.706,13.854,436.9,-1.0
