slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
Po10_M_14-25_mrc2,2,8.0,v,baseline,full,0.9438874598247964,0.9378379574118361,0.038359753886653566
Po10_M_14-25_mrc2,2,8.0,v,aging,baseline,0.9680830098591271,0.957458327803036,0.01887798313861201
Po10_M_14-25_mrc2,2,8.0,v,aging,drift,0.9001479822963218,0.8743396449961495,0.039686497464126044
Po10_M_14-25_mrc2,2,8.0,v,aging,full,0.9378961855175315,0.9161764386084498,0.034936245005935056
Po10_M_14-25_mrc2,2,8.0,v,drift,full,0.9219536566939333,0.894436183367415,0.039383849896636486
Po10_M_14-25_mrc2,2,8.0,u,baseline,drift,0.9961962761363629,0.9966681388904308,0.44180539300077193
Po10_M_14-25_mrc2,2,8.0,u,baseline,full,0.9898749008825242,0.9899331011223329,0.5676820376290745
Po10_M_14-25_mrc2,2,8.0,u,aging,baseline,0.9932810137140028,0.9929091957738649,0.3965088071264411
Po10_M_14-25_mrc2,2,8.0,u,aging,drift,0.9901051348132788,0.9906205753163121,0.4525661172721467
Po10_M_14-25_mrc2,2,8.0,u,aging,full,0.9958924264437246,0.996412297784009,0.5129881785972827
Po10_M_14-25_mrc2,2,8.0,u,drift,full,0.9889160312946186,0.9899919702572804,0.5802356463321292
Po10_M_14-25_mrc5,5,8.0,v,baseline,drift,0.8483332004468084,0.8275580799961895,0.058156618490544765
Po10_M_14-25_mrc5,5,8.0,v,baseline,full,0.8993755186414706,0.8590766739303873,0.043301054220161714
Po10_M_14-25_mrc5,5,8.0,v,aging,baseline,0.897027067809753,0.858678955453149,0.03599893728224847
Po10_M_14-25_mrc5,5,8.0,v,aging,drift,0.8157090816835498,0.7999940461305802,0.05549531115532349
Po10_M_14-25_mrc5,5,8.0,v,aging,full,0.9708880575466465,0.9686707391133498,0.02815839597065983
Po10_M_14-25_mrc5,5,8.0,v,drift,full,0.8476842973998834,0.8352111837483179,0.050129436131774854
