cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,3,-2.921908585677626,0.029782792733238337,0.028418734499761438,0.03103132217465637,200
ALL,M,3,-2.863371927396895,0.03183096772042606,0.03044034322959058,0.03311543129729275,200
ALL,M,3,-2.8048352691161647,0.03396399199550349,0.0326198744613087,0.03527920273432606,200
ALL,M,3,-2.746298610835434,0.03624243745831908,0.03470534611619318,0.03762850727694043,200
ALL,M,3,-2.6877619525547036,0.03880669216882281,0.037175216412013455,0.04041259984739392,200
ALL,M,3,-2.6292252942739727,0.04180314185581114,0.04004394845811599,0.04331910133516613,200
ALL,M,3,-2.5706886359932417,0.04527439681788772,0.04355079218291328,0.04675137833486356,200
ALL,M,3,-2.512151977712511,0.049141139454733196,0.04760537122009134,0.0506340725695814,200
ALL,M,3,-2.4536153194317807,0.05329717046213081,0.051738648356109126,0.0548713357068017,200
ALL,M,3,-2.39507866115105,0.05771521350712921,0.05590558491675729,0.05929912724711973,200
ALL,M,3,-2.336542002870319,0.06246156782575852,0.060663030236778555,0.06409523688775487,200
ALL,M,3,-2.2780053445895887,0.06760788218863187,0.06559785121026188,0.06938838936369567,200
ALL,M,3,-2.2194686863088577,0.07311987474865525,0.07096860782844391,0.07507602190294879,200
ALL,M,3,-2.1609320280281272,0.07883324236945362,0.07675314958973838,0.08098858501487864,200
ALL,M,3,-2.1023953697473967,0.08455257617172633,0.08226223882000132,0.08671422681110816,200
ALL,M,3,-2.0438587114666658,0.09018852191677303,0.08780537300051522,0.09268753921865572,200
ALL,M,3,-1.9853220531859352,0.09582014888903023,0.09304128842097051,0.0986858573847995,200
ALL,M,3,-1.9267853949052047,0.10165023167228322,0.09862692078576138,0.10452443346380519,200
ALL,M,3,-1.8682487366244738,0.10789501049771202,0.10502782746129193,0.11077415117846703,200
ALL,M,3,-1.8097120783437433,0.11467293217471604,0.11182179782268284,0.11736553267938797,200
ALL,M,3,-1.7511754200630127,0.12196713204451397,0.11906031509488567,0.12456746019874348,200
ALL,M,3,-1.6926387617822818,0.129702595498598,0.12687223778897458,0.13232807872111063,200
ALL,M,3,-1.6341021035015513,0.13786479067533994,0.1353960929650984,0.14063862189644993,200
ALL,M,3,-1.5755654452208208,0.14651258464251873,0.14417449714005062,0.1492624341445387,200
ALL,M,3,-1.5170287869400898,0.15564556876966915,0.15293890417477043,0.15865221168996818,200
ALL,M,3,-1.4584921286593593,0.16507247880732454,0.16211680838864767,0.16769292444226613,200
ALL,M,3,-1.3999554703786283,0.17444686729004247,0.17165767780102278,0.17756061972486933,200
ALL,M,3,-1.3414188120978978,0.1834563601346462,0.18056928829923444,0.18666987183782702,200
ALL,M,3,-1.2828821538171673,0.19199928144662753,0.18913985504428552,0.1954872008440448,200
ALL,M,3,-1.2243454955364363,0.20021587762412552,0.19717864441543542,0.20377431578015592,200
ALL,M,3,-1.1658088372557058,0.20837641896056494,0.20527626235047905,0.21230357398626953,200
ALL,M,3,-1.1072721789749753,0.21671389235029992,0.21321226557760936,0.22070219806341232,200
ALL,M,3,-1.0487355206942444,0.22529668633685757,0.22169579373176035,0.22912223967609538,200
ALL,M,3,-0.9901988624135138,0.23401653295923136,0.23058972897375177,0.23749687701994004,200
ALL,M,3,-0.9316622041327833,0.242713974659131,0.23906022657230666,0.24616638980720904,200
ALL,M,3,-0.8731255458520524,0.25134644641634013,0.24768483911943792,0.2550127560020749,200
ALL,M,3,-0.8145888875713219,0.2600169479559574,0.25620291908459625,0.2641893999301837,200
ALL,M,3,-0.7560522292905913,0.26879644672470876,0.26499839888069265,0.2732485363961489,200
ALL,M,3,-0.6975155710098604,0.2775314964095405,0.2734350170119835,0.2815792847690648,200
ALL,M,3,-0.6389789127291299,0.2858861000477875,0.28139081736936755,0.2902532724560057,200
ALL,M,3,-0.5804422544483989,0.2935811322914508,0.28910465662367146,0.29783786100216075,200
ALL,M,3,-0.5219055961676684,0.3005322294403561,0.29594561270147585,0.3044409205300817,200
ALL,M,3,-0.4633689378869379,0.3067249937246687,0.3024601988485589,0.31043228730376576,200
ALL,M,3,-0.40483227960620694,0.3120154597217653,0.3080215595985472,0.3155993016647427,200
ALL,M,3,-0.3462956213254764,0.31613058784320436,0.31250562640279567,0.319920630370968,200
ALL,M,3,-0.2877589630447459,0.31888202336371524,0.31535512170815844,0.3227261806774055,200
ALL,M,3,-0.22922230476401495,0.32034707523420247,0.3173109670765388,0.3241418360944777,200
ALL,M,3,-0.17068564648328444,0.3208071556848157,0.31764888913311007,0.3250966490485551,200
ALL,M,3,-0.11214898820255392,0.3205073058868909,0.3170398561208533,0.32489860096256623,200
